region,N,exact_area,estimated_area,relative_error,absolute_error
wide,49600,0.944517,0.955343,0.0114615,0.0108256
wide,50100,0.944517,0.955868,0.0120179,0.0113511
wide,50600,0.944517,0.955316,0.0114334,0.010799
wide,51100,0.944517,0.958121,0.0144033,0.0136041
wide,51600,0.944517,0.958605,0.014915,0.0140875
wide,52100,0.944517,0.959597,0.0159656,0.0150797
wide,52600,0.944517,0.960913,0.0173585,0.0163954
wide,53100,0.944517,0.961017,0.017469,0.0164998
wide,53600,0.944517,0.961791,0.0182886,0.0172739
wide,54100,0.944517,0.962551,0.019093,0.0180336
wide,54600,0.944517,0.962308,0.0188356,0.0177905
wide,55100,0.944517,0.962069,0.0185828,0.0175518
wide,55600,0.944517,0.963615,0.0202198,0.0190979
wide,56100,0.944517,0.961925,0.0184305,0.0174079
wide,56600,0.944517,0.960742,0.0171779,0.0162249
wide,57100,0.944517,0.960525,0.0169486,0.0160082
wide,57600,0.944517,0.959844,0.0162269,0.0153266
wide,58100,0.944517,0.959793,0.0161736,0.0152763
wide,58600,0.944517,0.95959,0.0159587,0.0150733
wide,59100,0.944517,0.958782,0.0151025,0.0142645
wide,59600,0.944517,0.958742,0.01506,0.0142244
wide,60100,0.944517,0.959151,0.0154939,0.0146342
wide,60600,0.944517,0.957327,0.013562,0.0128095
wide,61100,0.944517,0.956268,0.0124415,0.0117512
wide,61600,0.944517,0.956104,0.0122673,0.0115867
wide,62100,0.944517,0.954928,0.0110219,0.0104104
wide,62600,0.944517,0.953626,0.00964409,0.00910901
wide,63100,0.944517,0.951347,0.00723108,0.00682988
wide,63600,0.944517,0.950802,0.00665388,0.0062847
wide,64100,0.944517,0.948861,0.00459914,0.00434397
wide,64600,0.944517,0.948762,0.00449375,0.00424442
wide,65100,0.944517,0.949493,0.0052682,0.0049759
wide,65600,0.944517,0.948979,0.00472355,0.00446147
wide,66100,0.944517,0.949561,0.00534038,0.00504408
wide,66600,0.944517,0.949189,0.00494645,0.004672
wide,67100,0.944517,0.949762,0.00555243,0.00524436
wide,67600,0.944517,0.948328,0.00403509,0.00381122
wide,68100,0.944517,0.947841,0.0035195,0.00332422
wide,68600,0.944517,0.948411,0.00412263,0.00389389
wide,69100,0.944517,0.949233,0.00499283,0.00471581
wide,69600,0.944517,0.95069,0.00653505,0.00617247
wide,70100,0.944517,0.952382,0.00832714,0.00786513
wide,70600,0.944517,0.952266,0.0082043,0.0077491
wide,71100,0.944517,0.952785,0.00875328,0.00826762
wide,71600,0.944517,0.950405,0.00623371,0.00588784
wide,72100,0.944517,0.950555,0.00639226,0.0060376
wide,72600,0.944517,0.951446,0.00733612,0.0069291
wide,73100,0.944517,0.952079,0.00800637,0.00756216
wide,73600,0.944517,0.950747,0.00659606,0.0062301
wide,74100,0.944517,0.951377,0.00726226,0.00685933
wide,74600,0.944517,0.951515,0.00740861,0.00699756
wide,75100,0.944517,0.952011,0.00793365,0.00749347
wide,75600,0.944517,0.9525,0.00845174,0.00798281
wide,76100,0.944517,0.952865,0.00883781,0.00834747
wide,76600,0.944517,0.95346,0.00946764,0.00894234
wide,77100,0.944517,0.953113,0.00910058,0.00859565
wide,77600,0.944517,0.953003,0.00898384,0.00848539
wide,78100,0.944517,0.951972,0.00789255,0.00745465
wide,78600,0.944517,0.952557,0.00851236,0.00804007
wide,79100,0.944517,0.951542,0.00743784,0.00702517
wide,79600,0.944517,0.952688,0.00865125,0.00817126
wide,80100,0.944517,0.953258,0.00925472,0.00874124
wide,80600,0.944517,0.952481,0.00843204,0.0079642
wide,81100,0.944517,0.951492,0.00738451,0.0069748
wide,81600,0.944517,0.951618,0.00751756,0.00710046
wide,82100,0.944517,0.949878,0.00567593,0.00536101
wide,82600,0.944517,0.949685,0.00547163,0.00516804
wide,83100,0.944517,0.949928,0.00572844,0.00541061
wide,83600,0.944517,0.95006,0.00586821,0.00554262
wide,84100,0.944517,0.949441,0.0052132,0.00492396
wide,84600,0.944517,0.949574,0.00535436,0.00505728
wide,85100,0.944517,0.949283,0.00504598,0.00476601
wide,85600,0.944517,0.949416,0.00518646,0.0048987
wide,86100,0.944517,0.949338,0.00510398,0.00482079
wide,86600,0.944517,0.94843,0.0041422,0.00391238
wide,87100,0.944517,0.949082,0.00483245,0.00456433
wide,87600,0.944517,0.949932,0.00573237,0.00541432
wide,88100,0.944517,0.949342,0.00510787,0.00482447
wide,88600,0.944517,0.949063,0.00481306,0.00454602
wide,89100,0.944517,0.949192,0.00494934,0.00467473
wide,89600,0.944517,0.94952,0.00529678,0.0050029
wide,90100,0.944517,0.949745,0.00553462,0.00522754
wide,90600,0.944517,0.949073,0.00482327,0.00455566
wide,91100,0.944517,0.950384,0.00621165,0.00586701
wide,91600,0.944517,0.950895,0.00675267,0.00637801
wide,92100,0.944517,0.950228,0.00604629,0.00571083
wide,92600,0.944517,0.951026,0.00689107,0.00650873
wide,93100,0.944517,0.951719,0.00762442,0.0072014
wide,93600,0.944517,0.950673,0.0065175,0.00615589
wide,94100,0.944517,0.950213,0.00602991,0.00569535
wide,94600,0.944517,0.95185,0.00776345,0.00733271
wide,95100,0.944517,0.951577,0.00747483,0.0070601
wide,95600,0.944517,0.951496,0.00738857,0.00697863
wide,96100,0.944517,0.950666,0.00650998,0.00614879
wide,96600,0.944517,0.951429,0.00731737,0.00691139
wide,97100,0.944517,0.952369,0.00831272,0.00785151
wide,97600,0.944517,0.952746,0.00871209,0.00822872
wide,98100,0.944517,0.952844,0.00881599,0.00832685
wide,98600,0.944517,0.952485,0.00843563,0.0079676
wide,99100,0.944517,0.952129,0.00805912,0.00761198
wide,99600,0.944517,0.952771,0.00873875,0.0082539
narrow,100,0.944517,1.0647,0.127243,0.120183
narrow,600,0.944517,0.957667,0.0139219,0.0131495
narrow,1100,0.944517,0.9295,0.0158993,0.0150172
narrow,1600,0.944517,0.9295,0.0158993,0.0150172
